date Thu May 15 10:30:55.376 AM 2025
base hex  timestamps absolute
internal events logged
Begin Triggerblock Thu May 15 10:30:55.404 AM 2025
 0.000000 Start of measurement
 0.594313 1  ErrorFrame
 0.595697 1  ErrorFrame
 0.597045 1  ErrorFrame
 0.598397 1  ErrorFrame
 0.599762 1  ErrorFrame
 0.601117 1  ErrorFrame
 0.602473 1  ErrorFrame
 0.603836 1  ErrorFrame
 0.605214 1  ErrorFrame
 0.606559 1  ErrorFrame
 0.607912 1  ErrorFrame
 0.609272 1  ErrorFrame
 0.610635 1  ErrorFrame
 0.612025 1  ErrorFrame
 0.613359 1  ErrorFrame
 0.614711 1  ErrorFrame
 0.616089 1  ErrorFrame
 0.617437 1  ErrorFrame
 0.618792 1  ErrorFrame
 0.620155 1  ErrorFrame
 0.621567 1  ErrorFrame
 0.622887 1  ErrorFrame
 0.624233 1  ErrorFrame
 0.625598 1  ErrorFrame
 0.626954 1  ErrorFrame
 0.628312 1  ErrorFrame
 0.629673 1  ErrorFrame
 0.631033 1  ErrorFrame
 0.632392 1  ErrorFrame
 0.633751 1  ErrorFrame
 0.635111 1  ErrorFrame
 0.636493 1  ErrorFrame
 0.637851 1  ErrorFrame
 0.639198 1  ErrorFrame
 0.640554 1  ErrorFrame
 0.641912 1  ErrorFrame
 0.643270 1  ErrorFrame
 0.644635 1  ErrorFrame
 0.645993 1  ErrorFrame
 0.647353 1  ErrorFrame
 0.648713 1  ErrorFrame
 0.650075 1  ErrorFrame
 0.651435 1  ErrorFrame
 0.652793 1  ErrorFrame
 0.654164 1  ErrorFrame
 0.655516 1  ErrorFrame
 0.656892 1  ErrorFrame
 0.658237 1  ErrorFrame
 0.659593 1  ErrorFrame
 0.660953 1  ErrorFrame
 0.662317 1  ErrorFrame
 0.663672 1  ErrorFrame
 0.665032 1  ErrorFrame
 0.666392 1  ErrorFrame
 0.667759 1  ErrorFrame
 0.669117 1  ErrorFrame
 0.670472 1  ErrorFrame
 0.671881 1  ErrorFrame
 0.673208 1  ErrorFrame
 0.674556 1  ErrorFrame
 0.675912 1  ErrorFrame
 0.677285 1  ErrorFrame
 0.678635 1  ErrorFrame
 0.680028 1  ErrorFrame
 0.681361 1  ErrorFrame
 0.682712 1  ErrorFrame
 0.684077 1  ErrorFrame
 0.685431 1  ErrorFrame
 0.686792 1  ErrorFrame
 0.688164 1  ErrorFrame
 0.689524 1  ErrorFrame
 0.690874 1  ErrorFrame
 0.692233 1  ErrorFrame
 0.693614 1  ErrorFrame
 0.694954 1  ErrorFrame
 0.696316 1  ErrorFrame
 0.697697 1  ErrorFrame
 0.699035 1  ErrorFrame
 0.700397 1  ErrorFrame
 0.701754 1  ErrorFrame
 0.703114 1  ErrorFrame
 0.704472 1  ErrorFrame
 0.705846 1  ErrorFrame
 0.707193 1  ErrorFrame
 0.708551 1  ErrorFrame
 0.709910 1  ErrorFrame
 0.711271 1  ErrorFrame
 0.712635 1  ErrorFrame
 0.713994 1  ErrorFrame
 0.715359 1  ErrorFrame
 0.716713 1  ErrorFrame
 0.718078 1  ErrorFrame
 0.719434 1  ErrorFrame
 0.720790 1  ErrorFrame
 0.722196 1  ErrorFrame
 0.723519 1  ErrorFrame
 0.724871 1  ErrorFrame
 0.726239 1  ErrorFrame
 0.727596 1  ErrorFrame
 0.728954 1  ErrorFrame
 0.730316 1  ErrorFrame
 0.731672 1  ErrorFrame
 0.733035 1  ErrorFrame
 0.734392 1  ErrorFrame
 0.735755 1  ErrorFrame
 0.737118 1  ErrorFrame
 0.738519 1  ErrorFrame
 0.739851 1  ErrorFrame
 0.741202 1  ErrorFrame
 0.742554 1  ErrorFrame
 0.743912 1  ErrorFrame
 0.745273 1  ErrorFrame
 0.746635 1  ErrorFrame
 0.748034 1  ErrorFrame
 0.749361 1  ErrorFrame
 0.750714 1  ErrorFrame
 0.752074 1  ErrorFrame
 0.753436 1  ErrorFrame
 0.754808 1  ErrorFrame
 0.756161 1  ErrorFrame
 0.757523 1  ErrorFrame
 0.758882 1  ErrorFrame
 0.760235 1  ErrorFrame
 0.761592 1  ErrorFrame
 0.762950 1  ErrorFrame
 0.764326 1  ErrorFrame
 0.765673 1  ErrorFrame
 0.767033 1  ErrorFrame
 0.768391 1  ErrorFrame
 0.769758 1  ErrorFrame
 0.771133 1  ErrorFrame
 0.772503 1  ErrorFrame
 0.773838 1  ErrorFrame
 0.775196 1  ErrorFrame
 0.776620 1  ErrorFrame
 0.777912 1  ErrorFrame
 0.779285 1  ErrorFrame
 0.780665 1  ErrorFrame
 0.782003 1  ErrorFrame
 0.783356 1  ErrorFrame
 0.784710 1  ErrorFrame
 0.786080 1  ErrorFrame
 0.787466 1  ErrorFrame
 0.788836 1  ErrorFrame
 0.790176 1  ErrorFrame
 0.791552 1  ErrorFrame
 0.792895 1  ErrorFrame
 0.794245 1  ErrorFrame
 0.795610 1  ErrorFrame
 0.796991 1  ErrorFrame
 0.798333 1  ErrorFrame
 0.799704 1  ErrorFrame
 0.801052 1  ErrorFrame
 0.802407 1  ErrorFrame
 0.803796 1  ErrorFrame
 0.805177 1  ErrorFrame
 0.806519 1  ErrorFrame
 0.807869 1  ErrorFrame
 0.809231 1  ErrorFrame
 0.810581 1  ErrorFrame
 0.811932 1  ErrorFrame
 0.813279 1  ErrorFrame
 0.814659 1  ErrorFrame
 0.816045 1  ErrorFrame
 0.817405 1  ErrorFrame
 0.818720 1  ErrorFrame
 0.820163 1  ErrorFrame
 0.821498 1  ErrorFrame
 0.822848 1  ErrorFrame
 0.824198 1  ErrorFrame
 0.825587 1  ErrorFrame
 0.826916 1  ErrorFrame
 0.828280 1  ErrorFrame
 0.829612 1  ErrorFrame
 0.830975 1  ErrorFrame
 0.832324 1  ErrorFrame
 0.833687 1  ErrorFrame
 0.835062 1  ErrorFrame
 0.836429 1  ErrorFrame
 0.837813 1  ErrorFrame
 0.839140 1  ErrorFrame
 0.840495 1  ErrorFrame
 0.841842 1  ErrorFrame
 0.843200 1  ErrorFrame
 0.844590 1  ErrorFrame
 0.845952 1  ErrorFrame
 0.847305 1  ErrorFrame
 0.848681 1  ErrorFrame
 0.850032 1  ErrorFrame
 0.851393 1  ErrorFrame
 0.852752 1  ErrorFrame
 0.854119 1  ErrorFrame
 0.855499 1  ErrorFrame
 0.856848 1  ErrorFrame
 0.858190 1  ErrorFrame
 0.859558 1  ErrorFrame
 0.860926 1  ErrorFrame
 0.862268 1  ErrorFrame
 0.863611 1  ErrorFrame
 0.864961 1  ErrorFrame
 0.866377 1  ErrorFrame
 0.867707 1  ErrorFrame
 0.869081 1  ErrorFrame
 0.870437 1  ErrorFrame
 0.871809 1  ErrorFrame
 0.873176 1  ErrorFrame
 0.874495 1  ErrorFrame
 0.875866 1  ErrorFrame
 0.877230 1  ErrorFrame
 0.878605 1  ErrorFrame
 0.879992 1  ErrorFrame
 0.881303 1  ErrorFrame
 0.882685 1  ErrorFrame
 0.884065 1  ErrorFrame
 0.885438 1  ErrorFrame
 0.886760 1  ErrorFrame
 0.888145 1  ErrorFrame
 0.889468 1  ErrorFrame
 0.890812 1  ErrorFrame
 0.892192 1  ErrorFrame
 0.893555 1  ErrorFrame
 0.894908 1  ErrorFrame
 0.896264 1  ErrorFrame
 0.897629 1  ErrorFrame
 0.898991 1  ErrorFrame
 0.900354 1  ErrorFrame
 0.901725 1  ErrorFrame
 0.903071 1  ErrorFrame
 0.904461 1  ErrorFrame
 0.905793 1  ErrorFrame
 0.907153 1  ErrorFrame
 0.908519 1  ErrorFrame
 0.909867 1  ErrorFrame
 0.911276 1  ErrorFrame
 0.912624 1  ErrorFrame
 0.913969 1  ErrorFrame
 0.915339 1  ErrorFrame
 0.916703 1  ErrorFrame
 0.918022 1  ErrorFrame
 0.919361 1  ErrorFrame
 0.920744 1  ErrorFrame
 0.922115 1  ErrorFrame
 0.923512 1  ErrorFrame
 0.924862 1  ErrorFrame
 0.926192 1  ErrorFrame
 0.927545 1  ErrorFrame
 0.928935 1  ErrorFrame
 0.930282 1  ErrorFrame
 0.931646 1  ErrorFrame
 0.933010 1  ErrorFrame
 0.934356 1  ErrorFrame
 0.935701 1  ErrorFrame
 0.937058 1  ErrorFrame
 0.938480 1  ErrorFrame
 0.939810 1  ErrorFrame
 0.941175 1  ErrorFrame
 0.942538 1  ErrorFrame
 0.943897 1  ErrorFrame
 0.945278 1  ErrorFrame
 0.946656 1  ErrorFrame
 0.948020 1  ErrorFrame
 0.949304 1  ErrorFrame
 0.950675 1  ErrorFrame
 0.952056 1  ErrorFrame
 0.953392 1  ErrorFrame
 0.954767 1  ErrorFrame
 0.956120 1  ErrorFrame
 0.957467 1  ErrorFrame
 0.958813 1  ErrorFrame
 0.960197 1  ErrorFrame
 0.961548 1  ErrorFrame
 0.962915 1  ErrorFrame
 0.964282 1  ErrorFrame
 0.965624 1  ErrorFrame
 0.966979 1  ErrorFrame
 0.968336 1  ErrorFrame
 0.969703 1  ErrorFrame
 0.971068 1  ErrorFrame
 0.972429 1  ErrorFrame
 0.973795 1  ErrorFrame
 0.975165 1  ErrorFrame
 0.976504 1  ErrorFrame
 0.977871 1  ErrorFrame
 0.979212 1  ErrorFrame
 0.980577 1  ErrorFrame
 0.981955 1  ErrorFrame
 0.983319 1  ErrorFrame
 0.984669 1  ErrorFrame
 0.986019 1  ErrorFrame
 0.987393 1  ErrorFrame
 0.988760 1  ErrorFrame
 0.990102 1  ErrorFrame
 0.991460 1  ErrorFrame
 0.992829 1  ErrorFrame
 0.994193 1  ErrorFrame
 0.995544 1  ErrorFrame
 0.996904 1  ErrorFrame
 0.998262 1  ErrorFrame
 0.999615 1  ErrorFrame
 1.000989 1  ErrorFrame
 1.002340 1  ErrorFrame
 1.003720 1  ErrorFrame
 1.005084 1  ErrorFrame
 1.006414 1  ErrorFrame
 1.007786 1  ErrorFrame
 1.009148 1  ErrorFrame
 1.010500 1  ErrorFrame
 1.011860 1  ErrorFrame
 1.013227 1  ErrorFrame
 1.014585 1  ErrorFrame
 1.015937 1  ErrorFrame
 1.017304 1  ErrorFrame
 1.018655 1  ErrorFrame
 1.020063 1  ErrorFrame
 1.021406 1  ErrorFrame
 1.022755 1  ErrorFrame
 1.024134 1  ErrorFrame
 1.025486 1  ErrorFrame
 1.026830 1  ErrorFrame
 1.028193 1  ErrorFrame
 1.029571 1  ErrorFrame
 1.030921 1  ErrorFrame
 1.032266 1  ErrorFrame
 1.033617 1  ErrorFrame
 1.034978 1  ErrorFrame
 1.036349 1  ErrorFrame
 1.037724 1  ErrorFrame
 1.039067 1  ErrorFrame
 1.040432 1  ErrorFrame
 1.041789 1  ErrorFrame
 1.043133 1  ErrorFrame
 1.044519 1  ErrorFrame
 1.045873 1  ErrorFrame
 1.047234 1  ErrorFrame
 1.048583 1  ErrorFrame
 1.049940 1  ErrorFrame
 1.051303 1  ErrorFrame
 1.052660 1  ErrorFrame
 1.054050 1  ErrorFrame
 1.055388 1  ErrorFrame
 1.056740 1  ErrorFrame
 1.058107 1  ErrorFrame
 1.059463 1  ErrorFrame
 1.060827 1  ErrorFrame
 1.062193 1  ErrorFrame
 1.063544 1  ErrorFrame
 1.064919 1  ErrorFrame
 1.066266 1  ErrorFrame
 1.067626 1  ErrorFrame
 1.068976 1  ErrorFrame
 1.070352 1  ErrorFrame
 1.071723 1  ErrorFrame
 1.073079 1  ErrorFrame
 1.074430 1  ErrorFrame
 1.075808 1  ErrorFrame
 1.077156 1  ErrorFrame
 1.078501 1  ErrorFrame
 1.079863 1  ErrorFrame
 1.081273 1  ErrorFrame
 1.082625 1  ErrorFrame
 1.083996 1  ErrorFrame
 1.085306 1  ErrorFrame
 1.086637 1  ErrorFrame
 1.088047 1  ErrorFrame
 1.089369 1  ErrorFrame
 1.090772 1  ErrorFrame
 1.092117 1  ErrorFrame
 1.093438 1  ErrorFrame
 1.094792 1  ErrorFrame
 1.096192 1  ErrorFrame
 1.097527 1  ErrorFrame
 1.098902 1  ErrorFrame
 1.100258 1  ErrorFrame
 1.101638 1  ErrorFrame
 1.103011 1  ErrorFrame
 1.104358 1  ErrorFrame
 1.105765 1  ErrorFrame
 1.107133 1  ErrorFrame
 1.108412 1  ErrorFrame
 1.109760 1  ErrorFrame
 1.111111 1  ErrorFrame
 1.112474 1  ErrorFrame
 1.113831 1  ErrorFrame
 1.115189 1  ErrorFrame
 1.116671 1  ErrorFrame
 1.118002 1  ErrorFrame
 1.119382 1  ErrorFrame
 1.120754 1  ErrorFrame
 1.122063 1  ErrorFrame
 1.123363 1  ErrorFrame
 1.124771 1  ErrorFrame
 1.126176 1  ErrorFrame
 1.127529 1  ErrorFrame
 1.128866 1  ErrorFrame
 1.130330 1  ErrorFrame
 1.131635 1  ErrorFrame
 1.132939 1  ErrorFrame
 1.134259 1  ErrorFrame
 1.135649 1  ErrorFrame
 1.137045 1  ErrorFrame
 1.138381 1  ErrorFrame
 1.139705 1  ErrorFrame
 1.141047 1  ErrorFrame
 1.142406 1  ErrorFrame
 1.143755 1  ErrorFrame
 1.145123 1  ErrorFrame
 1.146518 1  ErrorFrame
 1.147841 1  ErrorFrame
 1.149202 1  ErrorFrame
 1.150554 1  ErrorFrame
 1.151910 1  ErrorFrame
 1.153281 1  ErrorFrame
 1.154672 1  ErrorFrame
 1.156058 1  ErrorFrame
 1.157354 1  ErrorFrame
 1.158737 1  ErrorFrame
 1.160105 1  ErrorFrame
 1.161451 1  ErrorFrame
 1.162792 1  ErrorFrame
